date,state,Disaster_Prob
1991-06-01,VT,0.0341056437723329
1991-06-01,ND,0.04069309134083002
1991-06-01,MT,0.03371455352857097
1991-06-01,MS,0.05248272901927
1991-06-01,MO,0.05116093591875395
1991-06-01,MN,0.04278223845793654
1991-06-01,MI,0.040286018455598656
1991-06-01,ME,0.03434680366693004
1991-06-01,NC,0.04724470018300422
1991-06-01,VA,0.043049630696107934
1991-06-01,UT,0.036371984127676615
1991-06-01,MA,0.03431323609913977
1991-06-01,TN,0.04723658207340595
1991-06-01,SD,0.04380780646808099
1991-06-01,RI,0.03620087397887265
1991-06-01,PA,0.04083549732232495
1991-06-01,OR,0.02952902935495866
1991-06-01,OK,0.05351404109282639
1991-06-01,OH,0.043577590027677096
1991-06-01,NY,0.03878416799377351
1991-06-01,NV,0.03798959636981728
1991-06-01,NM,0.041858655684713426
1991-06-01,NJ,0.04158093217608393
1991-06-01,IN,0.048408810240061724
1991-06-01,KS,0.04933202485673567
1991-06-01,KY,0.04557613773540074
1991-06-01,LA,0.0539013810948526
1991-06-01,IL,0.04835818137049463
1991-06-01,SC,0.050616081294015236
1991-07-01,ND,0.03648954492721359
1991-07-01,NY,0.03682174191357476
1991-07-01,PA,0.042747859319577565
1991-07-01,RI,0.03530609031043201
1991-07-01,SC,0.04701233643016818
1991-07-01,SD,0.04060973887312494
1991-07-01,TN,0.04535235349189697
1991-07-01,TX,0.04787047266494292
1991-07-01,UT,0.03930887616285135
1991-07-01,VA,0.04651750842913124
1991-07-01,KY,0.043893821182194995
1991-07-01,KS,0.04904812552926705
1991-07-01,OR,0.03265729477056887
1991-07-01,IN,0.04438993011541427
1991-07-01,ID,0.034647672775563715
1991-07-01,IA,0.0407459557166267
1991-07-01,HI,0.03877519301984259
1991-07-01,AL,0.04577410480410679
1991-07-01,AR,0.047904427286307165
1991-07-01,AZ,0.04666299967436785
1991-07-01,CA,0.03653538020930696
1991-07-01,CO,0.03397434792321982
1991-07-01,CT,0.03565590843461976
1991-07-01,IL,0.04326505183225476
1991-07-01,DE,0.044015333272679334
1991-07-01,OK,0.048968944140284236
1991-07-01,NV,0.03889224414677223
1991-07-01,NC,0.0464223779919642
1991-07-01,MT,0.034944673275995757
1991-07-01,MS,0.048302958482516055
1991-07-01,MO,0.04378529600541242
1991-07-01,MN,0.03655813161430903
1991-07-01,MI,0.03576249068270553
1991-07-01,ME,0.03299067493259037
1991-07-01,MD,0.04639019940328691
1991-07-01,MA,0.033909862840943966
1991-07-01,LA,0.04938379407694547
1991-07-01,OH,0.044589521379704164
1991-07-01,NE,0.04148011243928232
1991-07-01,WA,0.03265380565993323
1991-07-01,WI,0.03564231171383971
1991-07-01,WV,0.043841607567154245
1991-07-01,WY,0.034572443979757006
1991-07-01,NH,0.0334429895027125
1991-07-01,NJ,0.04297292121199528
1991-07-01,NM,0.03868920565080307
1991-07-01,VT,0.03129302265561659
1991-07-01,FL,0.049126061743143254
1991-08-01,NH,0.03195681506616556
1991-08-01,NE,0.03751224390106252
1991-08-01,ND,0.035427501064601644
1991-08-01,AZ,0.04056842361218731
1991-08-01,AL,0.04296231144259011
1991-08-01,NC,0.04187203198990591
1991-08-01,MT,0.03547027519623705
1991-08-01,MS,0.04287842446709732
1991-08-01,MO,0.04095240188100813
1991-08-01,MN,0.03394508178853463
1991-08-01,MI,0.03398249694119249
1991-08-01,MD,0.039984853292198495
1991-08-01,LA,0.044042674813244545
1991-08-01,KY,0.04246324073816051
1991-08-01,KS,0.04043638623959801
1991-08-01,IN,0.03876580501362774
1991-08-01,IL,0.03954610817132703
1991-08-01,ID,0.03232547800465071
1991-08-01,IA,0.037440892026948634
1991-08-01,HI,0.04301617259517841
1991-08-01,DE,0.04042668390529808
1991-08-01,CO,0.032456584574986326
1991-08-01,CA,0.03297965586266287
1991-08-01,NJ,0.03883589043657539
1991-08-01,AR,0.04361575632546814
1991-08-01,AK,0.020694899089966065
1991-08-01,NM,0.035072360192822546
1991-08-01,FL,0.045246592684196785
1991-08-01,NY,0.036275518438951576
1991-08-01,NV,0.03375974261747097
1991-08-01,WY,0.03128327207528645
1991-08-01,WV,0.035873129927660063
1991-08-01,VT,0.03224132218578063
1991-08-01,VA,0.03770576173513153
