date,state,ave_temp,ave_temp_uncertainty,disaster_occurrence,month,fitted_temp,error,mean,std,anomaly
1829-12-01,AL,9.943,4.921,0.0,12,6.774676830781374,3.168323169218626,0.9847801203212386,2.183443513532591,1
1830-01-01,AL,8.857999999999999,3.71,0.0,1,7.448511829514043,1.4094881704859556,1.1264158318240696,2.197162490292479,0
1830-02-01,AL,10.117,1.978,0.0,2,9.388774572943008,0.7282254270569926,1.768678922253858,1.2590801185556617,0
1830-03-01,AL,14.046,2.957,0.0,3,12.711149665561816,1.3348503344381832,1.1575213106603772,0.37364945925486276,1
1830-04-01,AL,17.726,1.93,0.0,4,17.26172502721753,0.4642749727824693,0.842450244759215,0.4463864321579372,1
1830-05-01,AL,21.728,2.111,0.0,5,21.278102098492656,0.4498979015073452,0.7496744029093326,0.5068282038077347,0
1830-06-01,AL,25.188,3.111,0.0,6,24.444037490877278,0.7439625091227207,0.5527117944708451,0.1657839013162029,1
1830-07-01,AL,28.182,1.801,0.0,7,25.733829328760507,2.4481706712394917,1.2140103606231858,1.0788800918490749,1
1830-08-01,AL,26.903,2.283,0.0,8,26.335514013390696,0.5674859866093023,1.253206388990505,1.0386244353170226,0
1830-09-01,AL,23.333,3.1830000000000003,0.0,9,22.506443772949666,0.8265562270503324,1.2807376282997087,1.0192910672036442,0
1830-10-01,AL,18.654,3.644,0.0,10,16.814174718974176,1.8398252810258242,1.0779558315618196,0.6723935907564493,1
1830-11-01,AL,15.132,3.494,0.0,11,11.94875346231456,3.1832465376854397,1.9498760152538654,1.1821931644779204,1
1830-12-01,AL,9.226,4.034,0.0,12,9.329522065776523,-0.1035220657765219,1.639849917644914,1.652484363812617,0
1831-01-01,AL,4.617,2.954,0.0,1,7.618391972645545,-3.0013919726455454,0.02611083308779083,3.094356458493124,0
1831-02-01,AL,6.834,5.648,0.0,2,7.137877300905657,-0.3038773009056577,-1.1362637797759083,1.6183519199910277,0
1831-03-01,AL,13.317,4.261,0.0,3,10.424748613099583,2.8922513869004174,-0.13767262888359522,2.950334897453405,0
1831-04-01,AL,17.407,2.898,0.0,4,16.446690531381897,0.9603094686181031,1.1828945182042876,1.6096483235410708,0
1831-05-01,AL,20.872,3.38,0.0,5,21.589932032740972,-0.717932032740972,1.0448762742591828,1.8065768013913834,0
1831-06-01,AL,25.119,2.821,0.0,6,25.08254367521088,0.0364563247891212,0.09294458688875078,0.840545553219536,0
1831-07-01,AL,26.402,2.0,0.0,7,26.96564523711019,-0.5636452371101903,-0.41504031502068034,0.39854487281362244,0
1831-08-01,AL,25.984,2.6060000000000003,0.0,8,26.40179914052692,-0.4177991405269168,-0.3149960176159953,0.3129805628286582,0
1831-09-01,AL,22.55,3.232,0.0,9,22.653792706369487,-0.1037927063694859,-0.36174569466886436,0.23499484909556112,0
1831-10-01,AL,17.823999999999995,3.595,0.0,10,16.94118450073426,0.8828154992657353,0.12040788412311088,0.6786744719624662,1
1831-11-01,AL,11.683,6.638,0.0,11,12.229942144879391,-0.5469421448793916,0.07736021600561926,0.7318907132977603,0
1831-12-01,AL,4.247,3.98,0.0,12,7.852661351386638,-3.6056613513866385,-1.0899293323334316,2.2929745798885044,0
1832-01-01,AL,7.506,2.188,0.0,1,4.967120114294448,2.538879885705552,-0.537907870186826,3.0722805808016442,0
1832-02-01,AL,10.727,5.433,0.0,2,8.700845959857386,2.0261540401426146,0.3197908581538427,3.4091939274873484,0
1832-03-01,AL,13.495,1.856,0.0,3,13.683304614777947,-0.18830461477794813,1.4589097703567395,1.4493820652688227,0
1832-04-01,AL,17.445,3.565,0.0,4,17.830801020642447,-0.3858010206424467,0.4840161349074066,1.3391763127589464,0
1832-05-01,AL,21.716,2.414,0.0,5,21.78622147189109,-0.07022147189108807,-0.21477570243716096,0.15944639148878417,0
1832-06-01,AL,24.898000000000003,1.62,0.0,6,25.0267339568927,-0.1287339568926953,-0.19491881647541,0.16787775202773633,0
1832-07-01,AL,26.395,2.795,0.0,7,26.031371881427948,0.363628118572052,0.054890896596089554,0.2689701319853436,1
1832-08-01,AL,24.977,2.17,0.0,8,25.578549267987068,-0.6015492679870675,-0.12221836876923693,0.48262168056106813,0
1832-09-01,AL,22.553,2.688,0.0,9,21.556408553792725,0.996591446207276,0.2528900989307535,0.8048047075762113,1
1832-10-01,AL,17.276,2.548,0.0,10,16.626220604629285,0.6497793953707145,0.348273857863641,0.8406501219008093,0
1832-11-01,AL,11.568,1.867,0.0,11,11.776612814847816,-0.20861281484781635,0.47925267557672474,0.6204344037357887,0
1832-12-01,AL,8.692,3.816,0.0,12,7.645326997013589,1.0466730029864113,0.4959465278364365,0.6416260861780583,1
1833-01-01,AL,8.607999999999999,2.825,0.0,1,7.852732197473453,0.7552678025265456,0.5311093302217135,0.6569786044030171,1
1833-02-01,AL,10.379,2.952,0.0,2,10.003033970330055,0.37596602966994475,0.7259689450609672,0.3363120252091771,1
1833-03-01,AL,12.73,2.774,0.0,3,13.316820115871973,-0.5868201158719728,0.18147123877483917,0.6918606528352997,0
1833-04-01,AL,17.391000000000002,2.222,0.0,4,16.727341874779274,0.6636581252207279,0.15093467967289995,0.6549070844192822,1
1833-05-01,AL,21.85,2.299,0.0,5,20.99990451815892,0.8500954818410804,0.3089778303966118,0.7813643147661844,1
1833-06-01,AL,24.76,2.465,0.0,6,24.54858505145031,0.21141494854969167,0.5750561852038333,0.32842949583172953,0
1833-07-01,AL,26.733,1.97,0.0,7,25.8419162515548,0.891083748445201,0.6508647262786577,0.3811260813158866,1
1833-08-01,AL,26.234,1.889,0.0,8,25.695730991690898,0.5382690083091042,0.5469225684346656,0.3399170229112662,1
1833-09-01,AL,23.61,2.388,0.0,9,22.43332685817388,1.176673141826118,0.8686752995268078,0.3197914372836958,1
1833-10-01,AL,16.293,1.882,0.0,10,17.393839541301197,-1.1008395413011982,0.20470086961134135,1.1748262777181298,0
1833-11-01,AL,12.255999999999998,1.796,0.0,11,11.42691790580658,0.8290820941934189,0.3016385649061129,1.2269529383361066,0
1833-12-01,AL,8.373,2.323,0.0,12,7.955456860842093,0.41754313915790675,0.048595230683375824,1.016484775667213,0
1834-01-01,AL,6.332999999999999,2.76,0.0,1,7.3723095195849,-1.0393095195849007,0.06910523792214167,0.9817222284701252,0
1834-02-01,AL,12.297,2.803,0.0,2,8.631729757304798,3.665270242695202,1.0145012874227362,2.40843039301504,1
1834-03-01,AL,13.585,2.673,0.0,3,13.96026438596289,-0.3752643859628897,0.7502321123824706,2.546237314304089,0
1834-04-01,AL,17.746000000000006,2.689,0.0,4,17.45972929732852,0.28627070267148724,1.1920921864679332,2.167225055624488,0
1834-05-01,AL,22.163,2.793,0.0,5,21.482077255804164,0.6809227441958363,0.19730968696814463,0.5336837642408935,1
1834-06-01,AL,25.894,4.428999999999999,0.0,6,24.75031578434459,1.1436842156554086,0.7036258875075774,0.42915738092092043,1
1834-07-01,AL,27.998,2.67,0.0,7,26.29055514561628,1.70744485438372,1.1773506047449882,0.5140884943195749,1
1834-08-01,AL,27.117,2.052,0.0,8,26.160023975804474,0.9569760241955265,1.269368364744885,0.39070224630803113,1
1834-09-01,AL,23.15,3.941,0.0,9,22.633952416730097,0.5160475832699021,1.0601561539497162,0.6023632365826324,0
1834-10-01,AL,17.695999999999994,3.502,0.0,10,16.613468053914755,1.0825319460852398,0.8518518511835561,0.29751378479330165,1
1834-11-01,AL,12.732,2.307,0.0,11,11.609825586035782,1.122174413964217,0.9069179811064529,0.3390835180946339,1
1834-12-01,AL,8.747,2.1590000000000003,0.0,12,7.793253939200364,0.9537460607996362,1.0528174736163642,0.08805816227291799,1
1835-01-01,AL,7.864,1.978,0.0,1,7.192191501521394,0.6718084984786055,0.9159096577474862,0.22755451985098896,1
1835-02-01,AL,4.197,2.006,0.0,2,9.520393927954103,-5.323393927954103,-1.232613122891954,3.545523641658654,0
1835-03-01,AL,11.345999999999998,1.957,0.0,3,9.950348342682211,1.3956516573177868,-1.0853112573859036,3.6880883627669903,0
1835-04-01,AL,16.595000000000002,2.636,0.0,4,15.796520641560067,0.7984793584399359,-1.0430876373987934,3.7188600597981836,0
1835-05-01,AL,23.025,1.391,0.0,5,21.27651772812522,1.748482271874778,1.3142044292108335,0.4802099771019682,1
1835-06-01,AL,25.34,1.983,0.0,6,26.391915954675326,-1.0519159546753265,0.49834855854646243,1.4241195278485703,0
1835-07-01,AL,25.598000000000003,2.062,0.0,7,27.694715947242642,-2.0967159472426395,-0.4667165433477294,1.9882733965276087,0
1835-08-01,AL,25.691,1.392,0.0,8,26.276014165498083,-0.5850141654980838,-1.2445486891386832,0.7740420511977412,0
1835-09-01,AL,20.969,1.655,0.0,9,22.5955373464521,-1.6265373464520998,-1.4360891530642743,0.7736365134905401,0
1835-10-01,AL,16.375,1.262,0.0,10,16.13900231221911,0.23599768778089114,-0.6585179413897642,0.9334405670630248,0
